age,numHandsets,handsetAge,avgBill,avgMins,avgrecurringCharge,avgOverBundleMins,avgRoamCalls,callMinutesChangePct,billAmountChangePct,avgReceivedMins,avgOutCalls,avgInCalls,peakOffPeakRatio,peakOffPeakRatioChangePct,avgDroppedCalls,lifeTime,lastMonthCustomerCareCalls,numRetentionCalls,numRetentionOffersAccepted,newFrequentNumbers,children,smartPhone,homeOwner,creditCard,CR_A,CR_B,CR_C,CR_D,CR_E,CR_F,CR_G,Inc_0,Inc_1,Inc_2,Inc_3,Inc_4,Inc_5,Inc_6,Inc_7,Inc_8,Inc_9,churn
0.225,0.3333333333333333,0.09793420045906656,0.2346699266503668,0.4948415349216953,0.4798712664445824,0.15085951393005334,0.0011696761459170993,0.524109208699676,0.4918196450765063,0.2730120580325631,0.06405550323832951,0.030042918454935626,0.028980850730284318,0.5236912143803346,0.12665241826961135,0.5957446808510638,0.07301369863013699,0.0,0.0,0.0,0,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.15,0.05555555555555555,0.3052792654934965,0.07850855745721272,0.09671194240332516,0.16932979504262885,0.007409602845287492,0.0,0.5063396575659417,0.5129479839449075,0.00203592325327702,0.05125593373436089,0.0,0.0113699922683164,0.8005175769123966,0.14509617668012348,0.3829787234042553,0.0,0.0,0.0,0.6666666666666666,1,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
0.2,0.0,0.4728385615914308,0.1843031784841076,0.10331774660431976,0.3951781378804132,0.0,0.015132685137802469,0.6202683942619157,0.5307349076017196,0.026846185706535373,0.01858435992543193,0.004291845493562232,0.15305220878567685,0.8276330098475024,0.03166310456740284,0.3191489361702128,0.00452054794520548,0.0,0.0,0.0,0,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.2,0.0,0.3465952563121653,0.1741564792176039,0.20938172641579456,0.294393314889052,0.015115589804386485,0.016521675561079027,0.3118000925497455,0.2610175016808949,0.2372579788940678,0.07303057674937058,0.045793991416309014,0.017921472744276915,0.3496766174204421,0.2638328188078841,0.1914893617021277,0.045616438356164385,0.0,0.0,0.0,0,1,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
0.275,0.05555555555555555,0.2731446059678653,0.02444987775061125,0.005344021376085505,0.0564620857094461,0.0,0.0,0.5662193428968071,0.5172673743403762,0.003692663092619925,0.007053216228162895,0.011459227467811159,0.0288163276670208,0.8138445878438159,0.010527982268661444,0.14893617021276595,0.0,0.0,0.0,0.0,0,1,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
0.2,0.0,0.4912012241775057,0.14048899755501226,0.10175907370296147,0.1693862571283383,0.020746887966804985,0.13963008991885373,0.6303563165201296,0.6356023715898209,0.01812496718605072,0.04420271750619799,0.0028755364806866955,0.0320502047832514,0.0,0.04488245072429352,0.3191489361702128,0.0,0.0,0.0,0.0,0,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
0.2,0.0,0.5172149961744453,0.12359413202933985,0.07644919468566763,0.3387160521709672,0.0,0.0,0.552336881073577,0.5201605509260203,0.03520572158603672,0.06342129033497973,0.09300429184549357,0.03012097649144146,0.6213501676255164,0.07124198527665637,0.3404255319148936,0.0,0.0,0.0,0.0,0,1,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.325,0.0,0.2930374904361132,0.5437897310513448,0.56958361166778,0.3141550448873581,0.6985773562537048,0.0,0.0,0.13049856359894868,0.2618290641169985,0.23446658851113714,0.04721030042918455,0.01226438291283134,0.549100762407728,0.3694292725401726,0.14893617021276595,0.022876712328767118,0.0,0.0,0.0,0,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
0.2,0.0,0.4674827850038256,0.09789731051344742,0.08513322942180658,0.16932979504262885,0.03882631890930646,0.0,0.5914854234150856,0.5238687068315642,0.02390022225981648,0.058289931389694995,0.028626609442060087,0.035661113419626564,0.3539731633158521,0.01583155228370142,0.2978723404255319,0.00452054794520548,0.0,0.0,0.0,0,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
0.525,0.0,0.19204284621270085,0.19765281173594126,0.3861055444221777,0.3358929478854949,0.08595139300533491,0.00453249506542876,0.09625173530772788,0.4544120942931074,0.304845964030078,0.0653431476178579,0.09012875536480687,0.008734354894533641,0.5372746176236517,0.11873664212776062,0.0425531914893617,0.03657534246575343,0.0,0.0,0.0,0,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
