age,numHandsets,handsetAge,avgBill,avgMins,avgrecurringCharge,avgOverBundleMins,avgRoamCalls,callMinutesChangePct,billAmountChangePct,avgReceivedMins,avgOutCalls,avgInCalls,peakOffPeakRatio,peakOffPeakRatioChangePct,avgDroppedCalls,lifeTime,lastMonthCustomerCareCalls,numRetentionCalls,numRetentionOffersAccepted,newFrequentNumbers,children,smartPhone,homeOwner,creditCard,CR_A,CR_B,CR_C,CR_D,CR_E,CR_F,CR_G,Inc_0,Inc_1,Inc_2,Inc_3,Inc_4,Inc_5,Inc_6,Inc_7,Inc_8,Inc_9,churn
0.2,0.05555555555555555,0.13006885998469778,0.23075794621026893,0.2289764714614414,0.2823104285472305,0.15411973918197985,0.0,0.5846367422489589,0.5113383997881054,0.1822880510555883,0.11210193531028384,0.16450643776824034,0.017123968382900687,0.8573186421763417,0.10290508984405922,0.3404255319148936,0.0684931506849315,0.0,0.0,0.0,0,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
0.1,0.05555555555555555,0.10022953328232594,0.053618581907090464,0.13285830921101463,0.0564620857094461,0.022525192649673977,0.0,0.45164275798241554,0.5011104093233635,0.06713879863027283,0.030115503622700976,0.03862660944206009,0.014317505312360035,0.46076335345008274,0.03957888070925354,0.1702127659574468,0.0136986301369863,0.0,0.0,0.0,1,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
0.2,0.0,0.25554705432287683,0.22882640586797068,0.051213538187486085,0.46016599853198575,0.0,0.14321222311572485,0.643035631652013,0.7798944601780731,0.0,0.00576557184863452,0.0,0.020080321293089468,0.35747576173277024,0.002612206126810734,0.10638297872340426,0.0136986301369863,0.0,0.0,0.0,0,1,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.275,0.05555555555555555,0.27620504973221116,0.08555012224938875,0.04705707711719736,0.254022923606798,0.0,0.0,0.5664044423877834,0.5172673743403762,0.010792143319663284,0.0025560701862279707,0.0,0.05347855087895707,0.41395789558621837,0.013219346156890683,0.1276595744680851,0.0,0.0,0.0,0.0,1,1,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
0.125,0.0,0.6801836266258607,0.08679706601466992,0.03740814963259853,0.1834453164699904,0.0,0.017910665984355582,0.5721425266080519,0.5119292597950327,0.008167027377042486,0.00576557184863452,0.017167381974248927,0.041489640049637296,0.02969136459262078,0.002612206126810734,0.48936170212765956,0.0,0.0,0.0,0.0,0,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
0.35,0.0,0.4521805661820964,0.14151589242053791,0.20322125732947377,0.2540793856925075,0.06105512744516894,0.0,0.5778806108283202,0.5333224669424014,0.042871060138489445,0.03459343109180712,0.032918454935622316,0.022411127952635893,0.5145942437772113,0.03957888070925354,0.2765957446808511,0.0,0.0,0.0,1.0,1,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
0.2,0.05555555555555555,0.2540168324407039,0.12828850855745721,0.24968455429377273,0.3387160521709672,0.0,0.0,0.7568718186024989,0.5202827978240052,0.126845602347437,0.09738050852343705,0.09012875536480687,0.02086337455109128,0.4449994519465343,0.07915776141850708,0.5106382978723404,0.0,0.0,0.0,0.3333333333333333,0,1,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.1,0.3333333333333333,0.342769701606733,0.14141809290953547,0.2342462703184146,0.28225396646152107,0.01778304682868998,0.000731047591198187,0.6461823229986117,0.544569181557018,0.1415579188080807,0.029462072146522397,0.03575107296137339,0.031495780445264195,0.43104150383874773,0.05279822686614422,0.7872340425531915,0.00452054794520548,0.0,0.0,0.0,0,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
0.15,0.16666666666666666,0.2654934965570008,0.08066014669926651,0.09737994507533586,0.1834453164699904,0.0,0.0,0.5732531235539102,0.5182860984902508,0.0,0.0,0.0,0.0,0.5605056521286945,0.0,0.6170212765957447,0.0,0.0,0.0,0.3333333333333333,0,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
0.65,0.0,0.17061973986228002,0.08838630806845965,0.04134194314555036,0.254022923606798,0.0,0.0,0.60462748727441,0.5183268474562458,0.00010500463770483196,0.0006342129033497972,0.0,0.006686746988378793,0.44779096031227883,0.03696667458244281,0.02127659574468085,0.0,0.0,0.0,0.0,0,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
